Split,Athlete In Front,Quarter Time (s),Team Speed (km/h),Delivery Speed (km/h),Event,splitType,endTime,frontRiderIndex,deliveryAdjusted
Q21,POLITES,3.859997,58.29,58.29,Change,QUARTER,94.216284,2,1
Q22,WILSON-HALL,3.72,60.484,60.484,None,QUARTER,97.936284,3,0
Q23,WILSON-HALL,3.74,60.16,60.16,None,QUARTER,101.676284,3,0
Q24,WILSON-HALL,3.759999,59.84,59.84,None,QUARTER,105.436283,3,0
Q25,WILSON-HALL,3.779999,59.524,59.524,None,QUARTER,109.216282,3,0
Q26,WILSON-HALL,3.78,59.524,59.524,None,QUARTER,112.996282,3,0
Q27,WILSON-HALL,3.839998,58.594,58.594,None,QUARTER,116.83628,3,0
Q28,WILSON-HALL,3.84,58.594,58.594,None,QUARTER,120.67628,3,0
Q29,WILSON-HALL,3.84,58.594,58.594,None,QUARTER,124.51628,3,0
Q30,WILSON-HALL,3.84,58.594,58.594,None,QUARTER,128.35628,3,0
Q31,WILSON-HALL,3.96,56.818,56.818,Change,QUARTER,132.31628,3,1
Q32,MARCKS,3.859998,58.29,58.29,None,QUARTER,136.176278,0,0
Q33,MARCKS,3.819999,58.901,58.901,None,QUARTER,139.996277,0,0
Q34,MARCKS,3.86,58.29,58.29,None,QUARTER,143.856277,0,0
Q35,MARCKS,3.839999,58.594,58.594,None,QUARTER,147.696276,0,0
Q36,MARCKS,3.86,58.29,58.29,None,QUARTER,151.556276,0,0
Q37,MARCKS,3.819999,58.901,58.901,None,QUARTER,155.376275,0,0
Q38,MARCKS,3.86,58.29,58.29,None,QUARTER,159.236275,0,0
Q39,MARCKS,3.959998,56.818,56.818,Drop,QUARTER,163.196273,0,1
Q40,EDWARDS,3.899999,57.692,57.692,None,QUARTER,167.096272,1,0
Q41,EDWARDS,3.819998,58.901,58.901,None,QUARTER,170.91627,1,0
Q42,EDWARDS,3.84,58.594,58.594,None,QUARTER,174.75627,1,0
Q43,EDWARDS,3.86,58.29,58.29,None,QUARTER,178.61627,1,0
Q44,EDWARDS,3.86,58.29,58.29,None,QUARTER,182.47627,1,0
Q45,EDWARDS,4.02,55.97,55.97,Change,QUARTER,186.49627,1,1
Q46,POLITES,3.879997,57.99,57.99,None,QUARTER,190.376267,2,0
Q47,POLITES,3.84,58.594,58.594,None,QUARTER,194.216267,2,0
Q48,POLITES,3.84,58.594,58.594,None,QUARTER,198.056267,2,0
Q49,POLITES,3.919999,57.398,57.398,Change,QUARTER,201.976266,2,1
Q50,WILSON-HALL,3.779998,59.524,59.524,None,QUARTER,205.756264,3,0
Q51,WILSON-HALL,3.8,59.211,59.211,None,QUARTER,209.556264,3,0
Q52,WILSON-HALL,3.82,58.901,58.901,None,QUARTER,213.376264,3,0
Q53,WILSON-HALL,3.84,58.594,58.594,None,QUARTER,217.216264,3,0
Q54,WILSON-HALL,3.82,58.901,58.901,None,QUARTER,221.036264,3,0
Q55,WILSON-HALL,3.859999,58.29,58.29,None,QUARTER,224.896263,3,0
Q56,WILSON-HALL,3.9,57.692,57.692,None,QUARTER,228.796263,3,0
Q57,WILSON-HALL,3.899999,57.692,57.692,None,QUARTER,232.696262,3,0
Q58,WILSON-HALL,3.94,57.107,57.107,None,QUARTER,236.636262,3,0
Q59,WILSON-HALL,3.98,56.533,56.533,None,QUARTER,240.616262,3,0
Q60,WILSON-HALL,3.98,56.533,56.533,None,QUARTER,244.596262,3,0
Q61,WILSON-HALL,3.98,56.533,56.533,None,QUARTER,248.576262,3,0
Q62,WILSON-HALL,4,56.25,56.25,None,QUARTER,252.576262,3,0
Q63,WILSON-HALL,4.019999,55.97,55.97,None,QUARTER,256.596261,3,0
Q64 (Finish),WILSON-HALL,4.339987,51.843,53.318,Rider Finish,TEAM_FINISH,260.936248,3,1
# startTime,7.463651,,,,,,,,
# title,260730-W-TP-Q-AUS,,,,,,,,
# rider1,MARCKS,,,,,,,,
# rider2,EDWARDS,,,,,,,,
# rider3,POLITES,,,,,,,,
# rider4,WILSON-HALL,,,,,,,,
